symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2021-03-24 00:00:00+00:00,120.09,122.9,120.065,122.82,88530485,117.2024259,119.9448592,117.178027,119.8667828,88530485,0,1
AAPL,2021-03-25 00:00:00+00:00,120.59,121.66,119,119.54,98844681,117.6904034,118.7346751,116.138635,116.6656507,98844681,0,1
AAPL,2021-03-26 00:00:00+00:00,121.21,121.48,118.92,120.35,94071234,118.2954954,118.5590032,116.0605586,117.4561742,94071234,0,1
AAPL,2021-03-29 00:00:00+00:00,121.39,122.58,120.7299,121.65,80819203,118.4711673,119.6325536,117.8269395,118.7249156,80819203,0,1
AAPL,2021-03-30 00:00:00+00:00,119.9,120.4031,118.86,120.11,85671919,117.0169945,117.5079974,116.0020014,117.221945,85671919,0,1
AAPL,2021-03-31 00:00:00+00:00,122.15,123.52,121.15,121.65,118323826,119.212893,120.5499513,118.2369381,118.7249156,118323826,0,1
AAPL,2021-04-01 00:00:00+00:00,123,124.18,122.49,123.66,75089134,120.0424547,121.1940815,119.5447177,120.686585,75089134,0,1
AAPL,2021-04-05 00:00:00+00:00,125.9,126.1601,123.07,123.87,88651175,122.872724,123.1265698,120.1107716,120.8915355,88651175,0,1
AAPL,2021-04-06 00:00:00+00:00,126.21,127.13,125.65,126.5,80171253,123.17527,124.0731485,122.6287352,123.4582969,80171253,0,1
AAPL,2021-04-07 00:00:00+00:00,127.9,127.92,125.14,125.83,83466716,124.8246338,124.8441529,122.1309982,122.8044071,83466716,0,1
AAPL,2021-04-08 00:00:00+00:00,130.36,130.39,128.52,128.95,88844591,127.2254829,127.2547615,125.4297258,125.8493865,88844591,0,1
AAPL,2021-04-09 00:00:00+00:00,132.995,133.04,129.47,129.8,106686703,129.7971241,129.8410421,126.356883,126.6789481,106686703,0,1
AAPL,2021-04-12 00:00:00+00:00,131.24,132.85,130.63,132.52,91419983,128.0843232,129.6556106,127.4889907,129.3335455,91419983,0,1
AAPL,2021-04-13 00:00:00+00:00,134.43,134.66,131.93,132.44,91266545,131.1976194,131.422089,128.7577321,129.2554691,91266545,0,1
AAPL,2021-04-14 00:00:00+00:00,132.03,135,131.655,134.94,87222782,128.8553276,131.7539137,128.4893445,131.6953564,87222782,0,1
AAPL,2021-04-15 00:00:00+00:00,134.5,135,133.64,133.82,89347102,131.2659362,131.7539137,130.426615,130.6022869,89347102,0,1
AAPL,2021-04-16 00:00:00+00:00,134.16,134.67,133.28,134.3,84922386,130.9341116,131.4318486,130.0752712,131.0707453,84922386,0,1
AAPL,2021-04-19 00:00:00+00:00,134.84,135.47,133.34,133.51,94264215,131.5977609,132.2126125,130.1338285,130.2997409,94264215,0,1
AAPL,2021-04-20 00:00:00+00:00,133.11,135.53,131.81,135.02,94812349,129.9093589,132.2711698,128.6406175,131.7734328,94812349,0,1
AAPL,2021-04-21 00:00:00+00:00,133.5,133.75,131.3001,132.36,68847136,130.2899813,130.5339701,128.1429781,129.1773927,68847136,0,1
AAPL,2021-04-22 00:00:00+00:00,131.94,134.15,131.41,133.04,84566456,128.7674917,130.924352,128.2502356,129.8410421,84566456,0,1
AAPL,2021-04-23 00:00:00+00:00,134.32,135.12,132.16,132.16,78756779,131.0902644,131.8710283,128.9822017,128.9822017,78756779,0,1
AAPL,2021-04-26 00:00:00+00:00,134.72,135.06,133.56,134.83,66905069,131.4806463,131.812471,130.3485386,131.5880014,66905069,0,1
AAPL,2021-04-27 00:00:00+00:00,134.39,135.41,134.11,135.01,66015804,131.1585812,132.1540552,130.8853138,131.7636733,66015804,0,1
AAPL,2021-04-28 00:00:00+00:00,133.58,135.02,133.08,134.31,107760097,130.3680577,131.7734328,129.8800803,131.0805048,107760097,0,1
AAPL,2021-04-29 00:00:00+00:00,133.48,137.07,132.45,136.47,151100953,130.2704622,133.7741404,129.2652287,133.1885674,151100953,0,1
AAPL,2021-04-30 00:00:00+00:00,131.46,133.56,131.065,131.78,109839466,128.2990333,130.3485386,127.9135311,128.6113389,109839466,0,1
AAPL,2021-05-03 00:00:00+00:00,132.54,134.07,131.83,132.04,75135100,129.3530646,130.8462756,128.6601366,128.8650872,75135100,0,1
AAPL,2021-05-04 00:00:00+00:00,127.85,131.4899,126.7,131.19,137564718,124.7758361,128.3282144,123.6534879,128.0355255,137564718,0,1
AAPL,2021-05-05 00:00:00+00:00,128.1,130.45,127.97,129.2,84000900,125.0198248,127.3133188,124.8929506,126.0933752,84000900,0,1
AAPL,2021-05-06 00:00:00+00:00,129.74,129.75,127.13,127.89,78128334,126.6203908,126.6301504,124.0731485,124.8148742,78128334,0,1
AAPL,2021-05-07 00:00:00+00:00,130.21,131.2582,129.475,130.85,78973273,127.2937997,128.3185241,126.5752609,127.9194662,78973273,0.22,1
AAPL,2021-05-10 00:00:00+00:00,126.85,129.54,126.81,129.41,88071229,124.0090507,126.6388051,123.9699466,126.5117166,88071229,0,1
AAPL,2021-05-11 00:00:00+00:00,125.91,126.27,122.77,123.5,126142826,123.0901031,123.4420405,120.020427,120.7340778,126142826,0,1
